Target	Ref	Chr	Pos
T_1	Tif1	A01	20455
M_3	Tif1	A01	58672
M_4	Tif1	A01	129882
M_8	Tif1	A01	864652
M_11	Tif1	A01	995084
M_14	Tif1	A01	1302155
M_18	Tif1	A01	2349212
M_20	Tif1	A01	2517629
M_21	Tif1	A01	2983297
M_24	Tif1	A01	3481338
M_28	Tif1	A01	3941845
T_2	Tif1	A01	3945775
M_32	Tif1	A01	5064378
M_34	Tif1	A01	5090389
M_36	Tif1	A01	5458323
M_38	Tif1	A01	5866162
M_39	Tif1	A01	5955582
M_49	Tif1	A01	7524922
M_51	Tif1	A01	8257272
M_384	Tif1	A01	8820986
M_383	Tif1	A01	8965215
M_74	Tif1	A01	9854759
M_71	Tif1	A01	10336003
T_3	Tif1	A01	10483963
T_4	Tif1	A01	10484330
T_6	Tif1	A01	10484384
T_7	Tif1	A01	10484576
T_8	Tif1	A01	10487170
M_70	Tif1	A01	11055547
M_68	Tif1	A01	11108874
M_67	Tif1	A01	11160936
M_58	Tif1	A01	12799143
M_57	Tif1	A01	12799418
M_56	Tif1	A01	13246587
M_76	Tif1	A01	13792231
M_81	Tif1	A01	14704288
M_82	Tif1	A01	14915693
M_83	Tif1	A01	15339776
M_89	Tif1	A01	16885077
M_92	Tif1	A01	17015436
M_94	Tif1	A01	17114955
M_96	Tif1	A01	17739081
M_99	Tif1	A01	17930168
T_9	Tif1	A01	18153429
M_105	Tif1	A01	19763342
M_110	Tif1	A01	20204181
M_113	Tif1	A01	21175892
M_115	Tif1	A01	22074923
M_125	Tif1	A01	23077402
M_131	Tif1	A01	24882098
M_147	Tif1	A01	29210586
M_148	Tif1	A01	29424764
M_149	Tif1	A01	29430010
M_150	Tif1	A01	29432247
M_159	Tif1	A01	30708430
M_175	Tif1	A01	35456645
M_181	Tif1	A01	37233615
M_177	Tif1	A01	37863930
M_182	Tif1	A01	38110654
M_185	Tif1	A01	38808755
M_186	Tif1	A01	38893919
M_188	Tif1	A01	38928357
M_189	Tif1	A01	38933470
M_194	Tif1	A01	41165475
M_208	Tif1	A01	45290710
M_217	Tif1	A01	47717809
M_231	Tif1	A01	50938416
M_237	Tif1	A01	52657891
M_249	Tif1	A01	54419715
M_286	Tif1	A01	55917780
M_280	Tif1	A01	57306574
M_270	Tif1	A01	60317833
M_261	Tif1	A01	62091832
M_369	Tif1	A01	73461607
M_348	Tif1	A01	78226085
M_347	Tif1	A01	78226220
M_346	Tif1	A01	78226234
M_360	Tif1	A01	86110037
M_326	Tif1	A01	89134892
M_385	Tif1	A01	93958413
M_390	Tif1	A01	94406125
M_392	Tif1	A01	94936419
T_10	Tif1	A01	94989837
M_394	Tif1	A01	95091512
M_395	Tif1	A01	95115012
M_396	Tif1	A01	95146207
M_405	Tif1	A01	97266434
M_406	Tif1	A01	97550569
M_414	Tif1	A01	98376655
T_11	Tif1	A01	98523294
M_422	Tif1	A01	99036532
M_425	Tif1	A01	100201869
T_13	Tif1	A01	101263675
M_438	Tif1	A01	101949313
